RPTG_SLS_MGMT_LVL_1,DELL_INDUSTRY_TAXONOMY_L1,ORG_USER_DEFINED_VALUE_113,emp_size,buy_power,decision_maker,clutser
CSB,"Business, Engineering & Consumer Services",T5,11,40639,0,0
CSB,Agriculture,T5,40,109237,0,0
NAMERICA,"Telecom, Media & Entertainment",T1,167,15644000,1,0
NAMERICA,"Banking, Financial Services & Insurance",T3,61,157724,0,0
LA,Web & Tech,T1,32000,1614000,1,0
EMEA,Retail,T1,10042,7700000,1,0
NAMERICA,"Business, Engineering & Consumer Services",T1,15,6782736.195,1,0
EMEA,Energy,T1,20970,165298,0,0
CSB,"Business, Engineering & Consumer Services",T5,5,43266,0,0
Greater China,Manufacturing,T3,500,75797.36,1,0
NAMERICA,Government,T1,5987,1613091.086,1,0
EMEA,Agriculture,T5,19,178428,1,0
NAMERICA,Manufacturing,T3,51,641249,0,0
CSB,Agriculture,T5,12,37390,1,0
EMEA,Healthcare & Life Sciences,T5,974,4002851,1,0
NAMERICA,Education,T1,1760,1347600,0,0
LA,"Banking, Financial Services & Insurance",T1,10000,9240200,0,0
EMEA,Education,T2,350,1900200,1,0
EMEA,Manufacturing,T5,192,40223.511,1,0
EMEA,Retail,T3,81,69992.309,0,0
NAMERICA,Healthcare & Life Sciences,T2,4000,12683096,0,0
NAMERICA,"Banking, Financial Services & Insurance",T4,16,138173.71,0,0
EMEA,Healthcare & Life Sciences,T5,15,7500750,1,0
NAMERICA,Education,T4,50,211321.829,1,0
NAMERICA,Government,T1,57990,67811,0,0
NAMERICA,Government,T5,300,154130.551,1,0
NAMERICA,"Business, Engineering & Consumer Services",T3,3,403271,1,0
EMEA,Healthcare & Life Sciences,T2,11000,8200000,1,0
EMEA,Manufacturing,T1,8658,32352,1,0
EMEA,Education,T1,1593,26827,0,0
NAMERICA,Education,T3,5197,150002.82,0,0
NAMERICA,Healthcare & Life Sciences,T1,2,915962,1,0
EMEA,"Business, Engineering & Consumer Services",T3,20,1820987,1,0
NAMERICA,"Business, Engineering & Consumer Services",T5,12,58656.499,1,0
EMEA,Healthcare & Life Sciences,T1,13737,28913000,0,0
EMEA,Retail,T1,4795,100987,1,0
CSB,"Business, Engineering & Consumer Services",T5,5,26477,1,0
EMEA,Government,T5,1,99716,0,0
LA,Manufacturing,T3,320,1005000,1,0
APJ,"Banking, Financial Services & Insurance",T1,6000,3877600,1,0
LA,"Business, Engineering & Consumer Services",T1,4,31753,0,0
LA,Construction & Real Estate,T3,300,244365.139,0,0
NAMERICA,Education,T4,185,175000,0,0
NAMERICA,Government,T1,50,3468187.386,0,0
Greater China,Energy,T2,150,240766,0,0
Greater China,Manufacturing,T1,5000,64059,0,0
NAMERICA,Government,T5,84,47305.842,0,0
NAMERICA,Government,T1,1,919618.88,0,0
Greater China,Retail,T1,101,189696,0,0
NAMERICA,Government,T1,2000,521000,1,0
NAMERICA,"Telecom, Media & Entertainment",T5,120,117005,1,0
Greater China,Manufacturing,T1,4072,1260847.697,1,0
EMEA,"Banking, Financial Services & Insurance",T3,214,318796,0,0
EMEA,Manufacturing,T1,2600,11213,1,0
EMEA,"Telecom, Media & Entertainment",T1,2,3090000,1,0
NAMERICA,"Business, Engineering & Consumer Services",T5,60,74966,0,0
APJ,Retail,T3,70,24522.441,0,0
CSB,Education,T5,1,6850626,1,0
EMEA,Manufacturing,T1,1494,1563186.39,0,0
CSB,Manufacturing,T5,10,22174,0,0
EMEA,"Business, Engineering & Consumer Services",T3,220,168960,1,0
NAMERICA,"Business, Engineering & Consumer Services",T1,41732,1378317.167,0,0
NAMERICA,Construction & Real Estate,T1,1300,400980.908,0,0
EMEA,Web & Tech,T4,50,90500,0,0
APJ,"Banking, Financial Services & Insurance",T1,15849,2635765,1,0
EMEA,"Business, Engineering & Consumer Services",T2,3077,6050000,0,0
APJ,Manufacturing,T1,7410,1925685,0,0
CSB,Agriculture,T5,10,120474,1,0
NAMERICA,Education,T1,924,2014722.35,1,0
NAMERICA,Healthcare & Life Sciences,T1,60,362099.53,0,0
EMEA,Manufacturing,T1,8376,182040,0,0
EMEA,Retail,T5,7,3389585,1,0
NAMERICA,"Business, Engineering & Consumer Services",T5,75,54266.335,0,0
LA,Education,T2,15,308502,0,0
NAMERICA,"Business, Engineering & Consumer Services",T1,15,652766.49,0,0
EMEA,Education,T3,369,694026.406,1,0
CSB,Manufacturing,T5,22,29775.905,0,0
NAMERICA,Healthcare & Life Sciences,T1,795,625000,0,0
EMEA,Agriculture,T5,39,200500,0,0
LA,Agriculture,T3,120,41838.72,1,0
EMEA,Manufacturing,T1,1300,197218,1,0
NAMERICA,Manufacturing,T2,11500,14988975.67,0,0
EMEA,Government,T2,5036,2655000,1,0
APJ,Web & Tech,T5,9,7712634,1,0
EMEA,Web & Tech,T5,563,109818,1,0
